Offense,Total,White,Black,Hispanic
TOTAL,7710900,5319654,2115381,1191334
murder,8957,3953,4778,1472
rape,18776,12794,5376,4090
robbery,66789,29025,36187,12823
aggravatedAssault,298040,184527,100393,65056
burglary,134542,91581,39617,23200
larcenyTheft,669983,448193,201086,78106
motorVehicleTheft,69002,44512,22305,14392
arson,6946,4938,1740,1055
violentCrime,392562,230299,146734,83441
propertyCrime,880473,589224,264748,116753
otherAssaults,794787,512025,254360,125007
forgeryCounterfeiting,37724,25140,11637,5301
fraud,89610,58572,28387,9636
embezzlement,11174,6923,3955,1193
stolenProperty,69874,44179,23661,11278
vandalism,134794,91176,38887,21479
weapons,126332,68756,54715,23663
prostitutionCommercializedVice,23502,12928,9109,4379
sexOffenses,35157,25338,8403,7398
drugAbuseViolations,1234178,871295,333113,211692
gambling,2465,1000,1198,341
offensesFamilyChildren,64357,43371,18530,5999
dui,736644,597919,108703,147221
liquorLaws,128453,100687,18743,15979
drunkenness,251490,193042,37781,52491
disorderlyConduct,248716,158533,78192,24553
vagrancy,18048,12823,4458,2557
allOther,2413408,1666825,663086,317928
suspicion,432,237,129,15
curfewLoitering,16720,9362,6852,3030
